From	To
ENSG00000002822	A0ACI8QJB0
ENSG00000002822	A0ACI8QU85
ENSG00000002822	A0ACI8REV5
ENSG00000002822	A0ACI8RPN9
ENSG00000002822	C9J9H5
ENSG00000002822	C9JIR0
ENSG00000002822	C9JJ38
ENSG00000002822	C9JKI7
ENSG00000002822	C9JX80
ENSG00000002834	Q14847
ENSG00000002834	A0ACI8Q527
ENSG00000002834	A0ACI8RZ07
ENSG00000002834	A0ACI8S571
ENSG00000002834	C9J9W2
ENSG00000002834	F6S2S5
ENSG00000002834	J3KSN1
ENSG00000002834	K7ESD6
ENSG00000002919	Q9Y5W9
ENSG00000002919	F6QUG3
ENSG00000002919	J3KTN6
ENSG00000002919	J3QKV3
ENSG00000002919	J3QLV8
ENSG00000002919	J3QRB9
ENSG00000002919	J3QRW4
ENSG00000002933	Q96HP8
ENSG00000002933	A0ACI8P8Y8
ENSG00000002933	A0ACI8PIP2
ENSG00000002933	A0ACI8Q5X0
ENSG00000002933	A0ACI8QQE3
ENSG00000002933	A0ACI8R9N9
ENSG00000002933	A0ACI8REK4
ENSG00000002933	A0ACI8UWU6
ENSG00000002933	C9JJ63
ENSG00000002933	H7C4P5
ENSG00000003056	P20645
ENSG00000003056	A0ACI8TY58
ENSG00000003056	A0ACI8TYL4
ENSG00000003056	A0ACI8U6K9
ENSG00000003056	F5GX30
ENSG00000003056	F5GXE0
ENSG00000003056	F5GXU0
ENSG00000003056	F5H4U1
ENSG00000003056	F5H883
ENSG00000003056	H0YF90
ENSG00000003056	H0YFL0
ENSG00000003056	H0YFY9
ENSG00000003056	H0YGE9
ENSG00000003056	H0YGT2
ENSG00000003402	O15519
ENSG00000003402	A0ACI8RGW7
ENSG00000003402	A0ACI8RXN4
ENSG00000003402	A0ACI8RZ45
ENSG00000003402	A0ACI8UJ40
ENSG00000003402	A0ACI8UJ64
ENSG00000003402	A0ACI8UJQ4
ENSG00000003402	A0ACI8UK72
ENSG00000003402	C9J408
ENSG00000003402	C9J4Q0
ENSG00000003402	C9JSU3
ENSG00000003402	C9JV51
ENSG00000003402	E9PAP3
ENSG00000003402	F8WBH9
ENSG00000003402	M0QY57
ENSG00000003402	M0QYM0
ENSG00000003402	M0R1A8
ENSG00000003756	P52756
ENSG00000003756	A0ACI8P7B9
ENSG00000003756	A0ACI8P8S3
ENSG00000003756	A0ACI8PEJ0
ENSG00000003756	A0ACI8PJT1
ENSG00000003756	A0ACI8PSG6
ENSG00000003756	A0ACI8Q0P4
ENSG00000003756	A0ACI8Q9Z6
ENSG00000003756	A0ACI8QB32
ENSG00000003756	A0ACI8QI36
ENSG00000003756	A0ACI8RDS1
ENSG00000003756	A0ACI8RJG4
ENSG00000003756	A0ACI8TWY3
ENSG00000003756	A0ACI8TX25
ENSG00000003756	A0ACI8TX72
ENSG00000003756	A0ACI8TXJ6
ENSG00000003756	A0ACI8UQ90
ENSG00000003756	A0ACI8UQ92
ENSG00000003756	A0ACI8UQB8
ENSG00000003756	C9J9P7
ENSG00000003756	C9JFQ5
ENSG00000003756	C9JR02
ENSG00000003756	F8W910
ENSG00000003756	F8WE23
ENSG00000003756	H7BYM9
ENSG00000003987	Q9Y216
ENSG00000003987	A0ACI8RM10
ENSG00000003987	A0ACI8SS46
ENSG00000003987	A0ACI8SS52
ENSG00000003987	E5RK11
ENSG00000004059	P84085
ENSG00000004059	A0ACI8PK60
ENSG00000004059	A0ACI8RPP7
ENSG00000004059	A0ACI8TT97
ENSG00000004059	A0ACI8TTF6
ENSG00000004059	C9J1Z8
ENSG00000004142	Q9Y2S7
ENSG00000004142	A0ACI8QW38
ENSG00000004142	A0ACI8R6U9
ENSG00000004142	A0ACI8RCV0
ENSG00000004142	A0ACI8RGI5
ENSG00000004142	A0ACI8S5W5
ENSG00000004142	A0ACI8SBY9
ENSG00000004142	A0ACI8TGC8
ENSG00000004142	A0ACI8UTC5
ENSG00000004142	A0ACI8UTD6
ENSG00000004142	A0ACI8UTF0
ENSG00000004142	A0ACM8QGA3
ENSG00000004399	Q9Y4D7
ENSG00000004399	A0ACI8QI93
ENSG00000004399	D6RH25
ENSG00000004399	H0Y9D1
ENSG00000004399	H0YA64
ENSG00000004399	H0YAB2
ENSG00000004399	H0YAM9
ENSG00000004478	Q02790
ENSG00000004478	A0ACI8RA53
ENSG00000004478	A0ACI8RVY0
ENSG00000004478	A0ACI8S7D7
ENSG00000004478	A0ACI8TG47
ENSG00000004478	A0ACI8TGJ3
ENSG00000004478	A0ACI8V562
ENSG00000004478	A0ACI8V567
ENSG00000004478	A0ACI8V574
ENSG00000004478	A0ACI8V580
ENSG00000004478	F5H120
ENSG00000004478	F5H1U3
ENSG00000004478	H0YFG2
ENSG00000004478	H0YG86
ENSG00000004487	O60341
ENSG00000004487	A0A8I5KPV0
ENSG00000004487	A0A8I5KQU6
ENSG00000004487	A0A8I5KRB8
ENSG00000004487	A0A8I5KRC9
ENSG00000004487	A0A8I5KRF4
ENSG00000004487	A0A8I5KRX9
ENSG00000004487	A0A8I5KSH0
ENSG00000004487	A0A8I5KSI8
ENSG00000004487	A0A8I5KT29
